File Name,Sliced File Name,Truncated Description,Description,Certainty
image1,image1.jpg,cellular telephone,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.0608772337436676
image1,image1_01_01.jpg,remote control,"remote control, remote",0.32779884338378906
image1,image1_01_02.jpg,shoji,shoji,0.08921665698289871
image1,image1_02_01.jpg,wig,wig,0.12964653968811035
image1,image1_02_02.jpg,window screen,window screen,0.3619326949119568
image10,image10.jpg,seat belt,"seat belt, seatbelt",0.6022326946258545
image10,image10_01_01.jpg,lipstick,"lipstick, lip rouge",0.2322082817554474
image10,image10_01_02.jpg,seat belt,"seat belt, seatbelt",0.13605746626853946
image10,image10_02_01.jpg,mosquito net,mosquito net,0.35071906447410583
image10,image10_02_02.jpg,wig,wig,0.7413016557693481
image100,image100.jpg,soap dispenser,soap dispenser,0.4838036596775055
image100,image100_01_01.jpg,paper towel,paper towel,0.14658871293067932
image100,image100_01_02.jpg,Band Aid,Band Aid,0.3450904786586761
image100,image100_02_01.jpg,bathtub,"bathtub, bathing tub, bath, tub",0.2490846812725067
image100,image100_02_02.jpg,plunger,"plunger, plumber's helper",0.3648691475391388
image1000,image1000.jpg,ski mask,ski mask,0.452329695224762
image1000,image1000_01_01.jpg,mask,mask,0.35947906970977783
image1000,image1000_01_02.jpg,pajama,"pajama, pyjama, pj's, jammies",0.12968792021274567
image1000,image1000_02_01.jpg,bearskin,"bearskin, busby, shako",0.08780214935541153
image1000,image1000_02_02.jpg,wok,wok,0.04816827550530434
image1001,image1001.jpg,seat belt,"seat belt, seatbelt",0.692699134349823
image1001,image1001_01_01.jpg,Band Aid,Band Aid,0.2220445871353149
image1001,image1001_01_02.jpg,neck brace,neck brace,0.16717886924743652
image1001,image1001_02_01.jpg,sunglasses,"sunglasses, dark glasses, shades",0.216929093003273
image1001,image1001_02_02.jpg,seat belt,"seat belt, seatbelt",0.5250242352485657
image1002,image1002.jpg,cloak,cloak,0.6345162391662598
image1002,image1002_01_01.jpg,cellular telephone,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.7970598936080933
image1002,image1002_01_02.jpg,lampshade,"lampshade, lamp shade",0.4840669929981232
image1002,image1002_02_01.jpg,bannister,"bannister, banister, balustrade, balusters, handrail",0.10529231280088423
image1002,image1002_02_02.jpg,cloak,cloak,0.3162199854850769
image1003,image1003.jpg,seat belt,"seat belt, seatbelt",0.5623871088027954
image1003,image1003_01_01.jpg,seat belt,"seat belt, seatbelt",0.8636032938957214
image1003,image1003_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.3926535248756409
image1003,image1003_02_01.jpg,seat belt,"seat belt, seatbelt",0.2291832119226456
image1003,image1003_02_02.jpg,seat belt,"seat belt, seatbelt",0.1776539534330368
image1004,image1004.jpg,seat belt,"seat belt, seatbelt",0.9192108511924744
image1004,image1004_01_01.jpg,seat belt,"seat belt, seatbelt",0.7047751545906067
image1004,image1004_01_02.jpg,seat belt,"seat belt, seatbelt",0.995235025882721
image1004,image1004_02_01.jpg,lab coat,"lab coat, laboratory coat",0.0698406845331192
image1004,image1004_02_02.jpg,seat belt,"seat belt, seatbelt",0.6021398901939392
image1005,image1005.jpg,seat belt,"seat belt, seatbelt",0.2655145823955536
image1005,image1005_01_01.jpg,seat belt,"seat belt, seatbelt",0.32322418689727783
image1005,image1005_01_02.jpg,feather boa,"feather boa, boa",0.16103719174861908
image1005,image1005_02_01.jpg,wig,wig,0.2349117398262024
image1005,image1005_02_02.jpg,syringe,syringe,0.4900274872779846
image1006,image1006.jpg,tub,"tub, vat",0.28749996423721313
image1006,image1006_01_01.jpg,microphone,"microphone, mike",0.12967194616794586
image1006,image1006_01_02.jpg,crash helmet,crash helmet,0.17025333642959595
image1006,image1006_02_01.jpg,bikini,"bikini, two-piece",0.18716175854206085
image1006,image1006_02_02.jpg,wig,wig,0.5979430675506592
image1007,image1007.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.21992184221744535
image1007,image1007_01_01.jpg,neck brace,neck brace,0.851760983467102
image1007,image1007_01_02.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.08547306060791016
image1007,image1007_02_01.jpg,wig,wig,0.6550669670104979
image1007,image1007_02_02.jpg,wig,wig,0.18518182635307312
image1008,image1008.jpg,sweatshirt,sweatshirt,0.4385644495487213
image1008,image1008_01_01.jpg,seat belt,"seat belt, seatbelt",0.0866713896393776
image1008,image1008_01_02.jpg,seat belt,"seat belt, seatbelt",0.4580076634883881
image1008,image1008_02_01.jpg,wig,wig,0.7778914570808411
image1008,image1008_02_02.jpg,wig,wig,0.2733874022960663
image1009,image1009.jpg,hair spray,hair spray,0.3045750856399536
image1009,image1009_01_01.jpg,wig,wig,0.5140954256057739
image1009,image1009_01_02.jpg,lipstick,"lipstick, lip rouge",0.09421472996473312
image1009,image1009_02_01.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.5097319483757019
image1009,image1009_02_02.jpg,bonnet,"bonnet, poke bonnet",0.15883246064186096
image101,image101.jpg,maillot,maillot,0.5168271660804749
image101,image101_01_01.jpg,maillot,maillot,0.1677800863981247
image101,image101_01_02.jpg,pajama,"pajama, pyjama, pj's, jammies",0.05746249109506608
image101,image101_02_01.jpg,soap dispenser,soap dispenser,0.11700929701328278
image101,image101_02_02.jpg,maillot,"maillot, tank suit",0.0714457556605339
image1010,image1010.jpg,jean,"jean, blue jean, denim",0.14709988236427307
image1010,image1010_01_01.jpg,seat belt,"seat belt, seatbelt",0.4166528582572937
image1010,image1010_01_02.jpg,hair slide,hair slide,0.358927845954895
image1010,image1010_02_01.jpg,jean,"jean, blue jean, denim",0.9282341599464417
image1010,image1010_02_02.jpg,jean,"jean, blue jean, denim",0.9595882296562196
image1011,image1011.jpg,pajama,"pajama, pyjama, pj's, jammies",0.3218247592449188
image1011,image1011_01_01.jpg,bath towel,bath towel,0.3542473316192627
image1011,image1011_01_02.jpg,bath towel,bath towel,0.12865887582302096
image1011,image1011_02_01.jpg,neck brace,neck brace,0.07136223465204239
image1011,image1011_02_02.jpg,wig,wig,0.15136758983135226
image1012,image1012.jpg,hair slide,hair slide,0.8567897081375122
image1012,image1012_01_01.jpg,lipstick,"lipstick, lip rouge",0.4117645025253296
image1012,image1012_01_02.jpg,hair slide,hair slide,0.4834145605564117
image1012,image1012_02_01.jpg,brassiere,"brassiere, bra, bandeau",0.07205051928758621
image1012,image1012_02_02.jpg,sweatshirt,sweatshirt,0.0787539929151535
image1013,image1013.jpg,corn,corn,0.422769695520401
image1013,image1013_01_01.jpg,mortarboard,mortarboard,0.08636294305324554
image1013,image1013_01_02.jpg,bikini,"bikini, two-piece",0.06747812777757645
image1013,image1013_02_01.jpg,ice lolly,"ice lolly, lolly, lollipop, popsicle",0.329083263874054
image1013,image1013_02_02.jpg,mortarboard,mortarboard,0.0764322504401207
image1014,image1014.jpg,redbone,redbone,0.2265750616788864
image1014,image1014_01_01.jpg,red wolf,"red wolf, maned wolf, Canis rufus, Canis niger",0.9230082035064696
image1014,image1014_01_02.jpg,red wolf,"red wolf, maned wolf, Canis rufus, Canis niger",0.6588723659515381
image1014,image1014_02_01.jpg,malinois,malinois,0.3437953591346741
image1014,image1014_02_02.jpg,swing,swing,0.08041971921920776
image1015,image1015.jpg,tarantula,tarantula,0.4633494317531586
image1015,image1015_01_01.jpg,seat belt,"seat belt, seatbelt",0.18009386956691742
image1015,image1015_01_02.jpg,lighter,"lighter, light, igniter, ignitor",0.11682355403900145
image1015,image1015_02_01.jpg,Band Aid,Band Aid,0.19514797627925876
image1015,image1015_02_02.jpg,safety pin,safety pin,0.9289790987968444
image1016,image1016.jpg,balance beam,"balance beam, beam",0.17946544289588928
image1016,image1016_01_01.jpg,neck brace,neck brace,0.1198832094669342
image1016,image1016_01_02.jpg,gar,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.20309166610240936
image1016,image1016_02_01.jpg,broom,broom,0.1620032787322998
image1016,image1016_02_02.jpg,jean,"jean, blue jean, denim",0.11038554459810256
image1017,image1017.jpg,poncho,poncho,0.5194348692893982
image1017,image1017_01_01.jpg,seat belt,"seat belt, seatbelt",0.1799871176481247
image1017,image1017_01_02.jpg,mobile home,"mobile home, manufactured home",0.13918262720108032
image1017,image1017_02_01.jpg,bib,bib,0.8333107233047485
image1017,image1017_02_02.jpg,apron,apron,0.75822514295578
image1018,image1018.jpg,neck brace,neck brace,0.5269849896430969
image1018,image1018_01_01.jpg,sunglass,sunglass,0.4242908954620361
image1018,image1018_01_02.jpg,lakeside,"lakeside, lakeshore",0.15667039155960086
image1018,image1018_02_01.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.21899299323558807
image1018,image1018_02_02.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.741633415222168
image1019,image1019.jpg,bikini,"bikini, two-piece",0.3151894211769104
image1019,image1019_01_01.jpg,swing,swing,0.8509409427642822
image1019,image1019_01_02.jpg,swing,swing,0.8967071771621704
image1019,image1019_02_01.jpg,stingray,stingray,0.05919914692640305
image1019,image1019_02_02.jpg,snorkel,snorkel,0.4109400808811188
image102,image102.jpg,miniskirt,"miniskirt, mini",0.3420408368110657
image102,image102_01_01.jpg,orangutan,"orangutan, orang, orangutang, Pongo pygmaeus",0.14100030064582825
image102,image102_01_02.jpg,miniskirt,"miniskirt, mini",0.4740895628929138
image102,image102_02_01.jpg,miniskirt,"miniskirt, mini",0.2617439925670624
image102,image102_02_02.jpg,bikini,"bikini, two-piece",0.21043987572193146
image1020,image1020.jpg,wool,"wool, woolen, woollen",0.29133185744285583
image1020,image1020_01_01.jpg,hair slide,hair slide,0.18332333862781525
image1020,image1020_01_02.jpg,sunglasses,"sunglasses, dark glasses, shades",0.15739989280700686
image1020,image1020_02_01.jpg,wool,"wool, woolen, woollen",0.17480722069740295
image1020,image1020_02_02.jpg,seat belt,"seat belt, seatbelt",0.3088997602462769
image1021,image1021.jpg,bathtub,"bathtub, bathing tub, bath, tub",0.18954835832118988
image1021,image1021_01_01.jpg,ear,"ear, spike, capitulum",0.5637162327766418
image1021,image1021_01_02.jpg,bathtub,"bathtub, bathing tub, bath, tub",0.1268770843744278
image1021,image1021_02_01.jpg,miniskirt,"miniskirt, mini",0.4307217299938202
image1021,image1021_02_02.jpg,shower curtain,shower curtain,0.7872411012649536
image1022,image1022.jpg,miniskirt,"miniskirt, mini",0.8747379779815674
image1022,image1022_01_01.jpg,paintbrush,paintbrush,0.15994714200496676
image1022,image1022_01_02.jpg,umbrella,umbrella,0.5168930888175964
image1022,image1022_02_01.jpg,miniskirt,"miniskirt, mini",0.3232785761356354
image1022,image1022_02_02.jpg,miniskirt,"miniskirt, mini",0.4328990280628204
image1023,image1023.jpg,shower cap,shower cap,0.0722544863820076
image1023,image1023_01_01.jpg,shower cap,shower cap,0.3963159918785095
image1023,image1023_01_02.jpg,shower cap,shower cap,0.210728719830513
image1023,image1023_02_01.jpg,teddy,"teddy, teddy bear",0.1427842527627945
image1023,image1023_02_02.jpg,miniskirt,"miniskirt, mini",0.3011002242565155
image1024,image1024.jpg,brassiere,"brassiere, bra, bandeau",0.21308228373527527
image1024,image1024_01_01.jpg,ice lolly,"ice lolly, lolly, lollipop, popsicle",0.10549414902925493
image1024,image1024_01_02.jpg,neck brace,neck brace,0.194419726729393
image1024,image1024_02_01.jpg,seat belt,"seat belt, seatbelt",0.2398059219121933
image1024,image1024_02_02.jpg,brassiere,"brassiere, bra, bandeau",0.6607379913330078
image1025,image1025.jpg,basketball,basketball,0.09348954260349274
image1025,image1025_01_01.jpg,punching bag,"punching bag, punch bag, punching ball, punchball",0.1845833957195282
image1025,image1025_01_02.jpg,punching bag,"punching bag, punch bag, punching ball, punchball",0.5616122484207153
image1025,image1025_02_01.jpg,sweatshirt,sweatshirt,0.06405983865261078
image1025,image1025_02_02.jpg,binoculars,"binoculars, field glasses, opera glasses",0.16126377880573273
image1026,image1026.jpg,hair slide,hair slide,0.6485149264335632
image1026,image1026_01_01.jpg,ice lolly,"ice lolly, lolly, lollipop, popsicle",0.16534791886806488
image1026,image1026_01_02.jpg,wig,wig,0.5121016502380371
image1026,image1026_02_01.jpg,seat belt,"seat belt, seatbelt",0.3366689383983612
image1026,image1026_02_02.jpg,wig,wig,0.16058120131492615
image1027,image1027.jpg,wig,wig,0.19554868340492249
image1027,image1027_01_01.jpg,stethoscope,stethoscope,0.4259486794471741
image1027,image1027_01_02.jpg,lipstick,"lipstick, lip rouge",0.17683938145637512
image1027,image1027_02_01.jpg,bathtub,"bathtub, bathing tub, bath, tub",0.15477336943149567
image1027,image1027_02_02.jpg,wig,wig,0.11671775579452515
image1028,image1028.jpg,jersey,"jersey, T-shirt, tee shirt",0.1034521386027336
image1028,image1028_01_01.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.12045656889677048
image1028,image1028_01_02.jpg,swing,swing,0.07730625569820404
image1028,image1028_02_01.jpg,rapeseed,rapeseed,0.09341825544834136
image1028,image1028_02_02.jpg,lens cap,"lens cap, lens cover",0.20168280601501465
image1029,image1029.jpg,radio telescope,"radio telescope, radio reflector",0.08986110240221024
image1029,image1029_01_01.jpg,solar dish,"solar dish, solar collector, solar furnace",0.3050768077373505
image1029,image1029_01_02.jpg,bikini,"bikini, two-piece",0.3035038709640503
image1029,image1029_02_01.jpg,photocopier,photocopier,0.12476562708616255
image1029,image1029_02_02.jpg,seat belt,"seat belt, seatbelt",0.4384515285491944
image103,image103.jpg,sundial,sundial,0.1689131259918213
image103,image103_01_01.jpg,Lhasa,"Lhasa, Lhasa apso",0.16976435482501984
image103,image103_01_02.jpg,wig,wig,0.0864211767911911
image103,image103_02_01.jpg,wig,wig,0.5607720613479614
image103,image103_02_02.jpg,sundial,sundial,0.19284044206142426
